#属性集名称	属性名称
Pset_申报信息属性集	基点坐标X
Pset_申报信息属性集	基点坐标Y
Pset_道路边界线信息属性集	区内道路类型
Pset_道路边界线信息属性集	道路宽度
Pset_道路边界线信息属性集	区内道路类型
Pset_道路边界线信息属性集	道路宽度
Pset_绿地信息属性集	类型
Pset_绿地信息属性集	投影面积
Pset_绿地信息属性集	绿地类型
Pset_绿地信息属性集	折算系数
Pset_规划净用地信息属性集	类型
Pset_规划净用地信息属性集	投影面积
Pset_规划净用地信息属性集	名称
Pset_规划净用地信息属性集	版本
Pset_规划总用地信息属性集	类型
Pset_规划总用地信息属性集	投影面积
Pset_规划总用地信息属性集	名称
Pset_停车场信息属性集	机动车位数量
Pset_停车场信息属性集	非机动车位数量
Pset_停车场信息属性集	无障碍车位数量
Pset_停车场信息属性集	投影面积
Pset_场地信息属性集	长度
Pset_场地信息属性集	宽度
Pset_场地信息属性集	总用地面积
Pset_场地信息属性集	可建设用地面积
Pset_场地信息属性集	建筑密度
Pset_场地信息属性集	建筑比例
Pset_场地信息属性集	混合用地比例
Pset_场地信息属性集	容积率
Pset_场地信息属性集	绿地率
Pset_场地信息属性集	地块编号
Pset_场地信息属性集	城市用地分类和使用
Pset_建筑技术信息属性集	建筑编号
Pset_建筑技术信息属性集	规划高度
Pset_建筑技术信息属性集	地上建筑层数
Pset_建筑技术信息属性集	地下建筑层数
Pset_建筑技术信息属性集	投影面积
Pset_建筑技术信息属性集	保障房户数
Pset_建筑技术信息属性集	建筑类型名称
Pset_建筑技术信息属性集	建筑用途名称
Pset_建筑技术信息属性集	建筑类别
Pset_建筑技术信息属性集	消防高度
Pset_建筑技术信息属性集	檐口高度
Pset_建筑技术信息属性集	屋脊高度
Pset_建筑技术信息属性集	海拔高度
Pset_建筑技术信息属性集	临时永久
Pset_建筑技术信息属性集	结构类型
Pset_建筑技术信息属性集	形状
Pset_建筑技术信息属性集	山墙开窗
Pset_建筑技术信息属性集	民用建筑
Pset_建筑技术信息属性集	建筑名称
Pset_建筑技术信息属性集	地坪标高
Pset_建筑技术信息属性集	耐火等级
Pset_建筑技术信息属性集	安全等级
Pset_建筑技术信息属性集	户数
Pset_建筑技术信息属性集	建筑状态
Pset_建筑技术信息属性集	建筑面积
Pset_建筑技术信息属性集	计容面积
Pset_建筑技术信息属性集	建筑体积
Pset_建筑技术信息属性集	人数
Pset_建筑技术信息属性集	地下建筑高度
Pset_建筑技术信息属性集	室内外高差最大值
Pset_建筑楼层信息属性集	建筑层高
Pset_建筑楼层信息属性集	楼层名称
Pset_建筑楼层信息属性集	建筑基底
Pset_建筑楼层信息属性集	底标高
Pset_建筑楼层信息属性集	计算标高
Pset_建筑楼层信息属性集	楼层面积
Pset_建筑区域信息属性集	投影面积
Pset_建筑区域信息属性集	主功能类别
Pset_建筑区域信息属性集	子功能类别
Pset_建筑区域信息属性集	计算系数
Pset_建筑区域信息属性集	计容系数
Pset_建筑区域信息属性集	构件类型
