属性集名称,参数类型,IFC构件,Revit类别,属性名称,IFC属性类型,Revit参数类型,默认值,真实数据
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,建筑编号,IfcLabel,Text,其他,0
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,规划高度,IfcReal,Length,0,0
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,地上建筑层数,IfcInteger,Integer,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,地下建筑层数,IfcInteger,Integer,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,投影面积,IfcReal,Area,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,保障房户数,IfcInteger,Integer,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,建筑类型名称,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,建筑用途名称,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,建筑类别,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,消防高度,IfcReal,Length,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,檐口高度,IfcReal,Length,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,屋脊高度,IfcReal,Length,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,海拔高度,IfcReal,Length,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,临时永久,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,结构类型,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,形状,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,山墙开窗,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,民用建筑,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,建筑名称,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,地坪标高,IfcReal,Length,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,耐火等级,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,安全等级,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,户数,IfcInteger,Integer,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,建筑状态,IfcLabel,Text,其他,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,建筑面积,IfcReal,Area,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,计容面积,IfcReal,Area,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,建筑体积,IfcReal,Volume,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,人数,IfcInteger,Integer,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,地下建筑高度,IfcReal,Length,0,
Pset_建筑技术信息属性集,I,IfcBuilding,项目信息,室内外高差最大值,IfcReal,Length,0,
Pset_建筑楼层信息属性集,I,IfcBuildingStorey,标高,建筑层高,IfcReal,Length,0,
Pset_建筑楼层信息属性集,I,IfcBuildingStorey,标高,楼层名称,IfcLabel,Text,其他,
Pset_建筑楼层信息属性集,I,IfcBuildingStorey,标高,建筑基底,IfcBoolean,YesNo,否,
Pset_建筑楼层信息属性集,I,IfcBuildingStorey,标高,底标高,IfcReal,Length,0,
Pset_建筑楼层信息属性集,I,IfcBuildingStorey,标高,计算标高,IfcReal,Length,0,
Pset_建筑楼层信息属性集,I,IfcBuildingStorey,标高,楼层面积,IfcReal,Area,0,
Pset_建筑区域信息属性集,I,IfcSlab,楼板,投影面积,IfcReal,Area,0,
Pset_建筑区域信息属性集,I,IfcSlab,楼板,主功能类别,IfcLabel,Text,其他,
Pset_建筑区域信息属性集,I,IfcSlab,楼板,子功能类别,IfcLabel,Text,其他,
Pset_建筑区域信息属性集,I,IfcSlab,楼板,计算系数,IfcReal,Number,0,
Pset_建筑区域信息属性集,I,IfcSlab,楼板,计容系数,IfcReal,Number,0,
Pset_建筑区域信息属性集,I,IfcSlab,楼板,构件类型,IfcLabel,Text,其他,
